gene_name	human_gene_id	human_protein_ids	OG_N0	pike_gene_id	salmon_gene_id	ratio	interacting_genes
LRP2BP	ENSG00000109771	Q9P2M1	OG6v0017684.14	ENSELUG00000012186	ENSSSAG00000106561	1:1:1	ENSG00000105993,ENSG00000137478,ENSG00000164675,ENSG00000182150
PET117	ENSG00000232838	Q6UWS5	OG6v0018071.13	ENSELUG00000032173	ENSSSAG00000073554	1:1:1	ENSG00000014919,ENSG00000128609,ENSG00000166260,ENSG00000240230
COL5A1	ENSG00000130635	P20908	OG6v0000105.221	ENSELUG00000003331	ENSSSAG00000079384,ENSSSAG00000069796	1:1:2	ENSG00000139329,ENSG00000152952,ENSG00000164692
COL4A2	ENSG00000134871	P08572	OG6v0000109.166	ENSELUG00000004187	ENSSSAG00000029049,ENSSSAG00000065435	1:1:2	ENSG00000187498,ENSG00000188153,ENSG00000197565
COL4A6	ENSG00000197565	Q14031	OG6v0000109.187	ENSELUG00000012911	ENSSSAG00000090893,ENSSSAG00000041304	1:1:2	ENSG00000134871,ENSG00000187498,ENSG00000188153
COL4A1	ENSG00000187498	P02462	OG6v0000109.276	ENSELUG00000004344	ENSSSAG00000029801,ENSSSAG00000065415	1:1:2	ENSG00000134871,ENSG00000188153,ENSG00000197565
COL4A5	ENSG00000188153	P29400	OG6v0000109.301	ENSELUG00000013002	ENSSSAG00000041266,ENSSSAG00000064682	1:1:2	ENSG00000134871,ENSG00000187498,ENSG00000197565
GNB3	ENSG00000111664	P16520	OG6v0000171.133	ENSELUG00000019051	ENSSSAG00000076512,ENSSSAG00000041241	1:1:2	ENSG00000114349,ENSG00000128266,ENSG00000136940
CRMP1	ENSG00000072832	Q14194	OG6v0000195.129	ENSELUG00000008856	ENSSSAG00000096973,ENSSSAG00000118926	1:1:2	ENSG00000113657,ENSG00000131238,ENSG00000151640
GRIK3	ENSG00000163873	Q13003	OG6v0000245.113	ENSELUG00000018369	ENSSSAG00000070593,ENSSSAG00000041700	1:1:2	ENSG00000152208,ENSG00000155511,ENSG00000156395
ANP32A	ENSG00000140350	P39687	OG6v0000258.152	ENSELUG00000022663	ENSSSAG00000043489,ENSSSAG00000113550	1:1:2	ENSG00000136938,ENSG00000187555,ENSG00000196911
SSBP2	ENSG00000145687	P81877	OG6v0000270.107	ENSELUG00000009831	ENSSSAG00000015367,ENSSSAG00000079361	1:1:2	ENSG00000157216,ENSG00000169744,ENSG00000198728
SSBP3	ENSG00000157216	Q9BWW4	OG6v0000270.134	ENSELUG00000015566	ENSSSAG00000075057,ENSSSAG00000044037	1:1:2	ENSG00000145687,ENSG00000169744,ENSG00000198728
PAK1	ENSG00000149269	Q13153	OG6v0000303.101	ENSELUG00000006340	ENSSSAG00000081727,ENSSSAG00000043512	1:1:2	ENSG00000104140,ENSG00000116574,ENSG00000119729
PTP4A3	ENSG00000184489	O75365	OG6v0000305.132	ENSELUG00000027384	ENSSSAG00000009463	1:1:1	ENSG00000106367,ENSG00000148842,ENSG00000168763
SEPTIN4	ENSG00000108387	O43236	OG6v0000340.98	ENSELUG00000007982	ENSSSAG00000069781,ENSSSAG00000051105	1:1:2	ENSG00000122545,ENSG00000125354,ENSG00000140623
CRY1	ENSG00000008405	Q16526	OG6v0000377.93	ENSELUG00000020312	ENSSSAG00000092438,ENSSSAG00000071693	1:1:2	ENSG00000005812,ENSG00000134852,ENSG00000170485
FLNB	ENSG00000136068	O75369	OG6v0000396.89	ENSELUG00000014760	ENSSSAG00000062100	1:1:1	ENSG00000122966,ENSG00000137076,ENSG00000150093
WIPF1	ENSG00000115935	O43516	OG6v0000467.88	ENSELUG00000002461	ENSSSAG00000086112,ENSSSAG00000095314	1:1:2	ENSG00000015285,ENSG00000106299,ENSG00000124507
AP1M2	ENSG00000129354	Q9Y6Q5	OG6v0000469.133	ENSELUG00000023282	ENSSSAG00000059187,ENSSSAG00000000837	1:1:2	ENSG00000006125,ENSG00000100280,ENSG00000166747
VPS4B	ENSG00000119541	O75351	OG6v0000477.82	ENSELUG00000017672	ENSSSAG00000077506,ENSSSAG00000079067	1:1:2	ENSG00000009844,ENSG00000086065,ENSG00000115561
FMNL2	ENSG00000157827	Q96PY5	OG6v0000529.78	ENSELUG00000016058	ENSSSAG00000075300,ENSSSAG00000074064	1:1:2	ENSG00000143878,ENSG00000161791,ENSG00000162849
NKX2-1	ENSG00000136352	P43699	OG6v0000553.76	ENSELUG00000021339	ENSSSAG00000064404,ENSSSAG00000120893	1:1:2	ENSG00000043093,ENSG00000100227,ENSG00000186432
MYO5B	ENSG00000167306	Q9ULV0	OG6v0000563.75	ENSELUG00000024138	ENSSSAG00000069046,ENSSSAG00000009979	1:1:2	ENSG00000102362,ENSG00000107560,ENSG00000117533
SPTLC3	ENSG00000172296	Q9NUV7	OG6v0000601.73	ENSELUG00000017312	ENSSSAG00000118193,ENSSSAG00000080703	1:1:2	ENSG00000090054,ENSG00000123353,ENSG00000128699
ATP5MC3	ENSG00000154518	P48201	OG6v0000631.85	ENSELUG00000014903	ENSSSAG00000005941	1:1:1	ENSG00000174749,ENSG00000175606,ENSG00000215712
EIF4A2	ENSG00000156976	Q14240	OG6v0000693.69	ENSELUG00000023923	ENSSSAG00000099057	1:1:1	ENSG00000075151,ENSG00000106682,ENSG00000110321
CAPZA2	ENSG00000198898	P47755	OG6v0000694.112	ENSELUG00000012526	ENSSSAG00000070500	1:1:1	ENSG00000077549,ENSG00000079691,ENSG00000204928
ORMDL2	ENSG00000123353	Q53FV1	OG6v0000707.87	ENSELUG00000003149	ENSSSAG00000044813,ENSSSAG00000044008	1:1:2	ENSG00000090054,ENSG00000172296,ENSG00000204070
TWIST2	ENSG00000233608	Q8WVJ9	OG6v0000709.108	ENSELUG00000012619	ENSSSAG00000109762,ENSSSAG00000015666	1:1:2	ENSG00000140262,ENSG00000151379,ENSG00000196628
GYG2	ENSG00000056998	O15488	OG6v0000749.66	ENSELUG00000016821	ENSSSAG00000059557	1:1:1	ENSG00000104812,ENSG00000111713,ENSG00000165195
CD2	ENSG00000116824	P06729	OG6v0000752.66	ENSELUG00000026607	ENSSSAG00000047907,ENSSSAG00000054799	1:1:2	ENSG00000116815,ENSG00000117091,ENSG00000169217
SNX2	ENSG00000205302	O60749	OG6v0000767.65	ENSELUG00000007419	ENSSSAG00000065248	1:1:1	ENSG00000089006,ENSG00000129515,ENSG00000189114
ARRB1	ENSG00000137486	P49407	OG6v0000791.64	ENSELUG00000021080	ENSSSAG00000046647	1:1:1	ENSG00000079337,ENSG00000160360,ENSG00000169313
LGALS1	ENSG00000100097	P09382	OG6v0000799.99	ENSELUG00000020035	ENSSSAG00000001248,ENSSSAG00000004257	1:1:2	ENSG00000081237,ENSG00000168758,ENSG00000177697
TMC1	ENSG00000165091	Q8TDI8	OG6v0000807.63	ENSELUG00000002296	ENSSSAG00000072501	1:1:1	ENSG00000136425,ENSG00000141977,ENSG00000181585
CTXN1	ENSG00000178531	P60606	OG6v0000822.84	ENSELUG00000021223	ENSSSAG00000057559	1:1:1	ENSG00000086598,ENSG00000114646,ENSG00000179673
WNT2	ENSG00000105989	P09544	OG6v0000837.98	ENSELUG00000012577	ENSSSAG00000051639,ENSSSAG00000070070	1:1:2	ENSG00000108379,ENSG00000120057,ENSG00000137642
RAPGEF6	ENSG00000158987	Q8TEU7	OG6v0001005.80	ENSELUG00000021317	ENSSSAG00000009418,ENSSSAG00000061035	1:1:2	ENSG00000137693,ENSG00000161800,ENSG00000198162
EPB41L3	ENSG00000082397	Q9Y2J2	OG6v0001006.56	ENSELUG00000019244	ENSSSAG00000063278,ENSSSAG00000075276	1:1:2	ENSG00000071909,ENSG00000143499,ENSG00000213722
STRIP2	ENSG00000128578	Q9ULQ0	OG6v0001021.82	ENSELUG00000015026	ENSSSAG00000053294,ENSSSAG00000003801	1:1:2	ENSG00000077063,ENSG00000090372,ENSG00000196792
OBSL1	ENSG00000124006	O75147	OG6v0001068.55	ENSELUG00000010214	ENSSSAG00000053510	1:1:1	ENSG00000013725,ENSG00000143375,ENSG00000256453
PCDH15	ENSG00000150275	Q96QU1	OG6v0001073.55	ENSELUG00000008231	ENSSSAG00000075648,ENSSSAG00000078448	1:1:2	ENSG00000161270,ENSG00000187416,ENSG00000197753
IRS2	ENSG00000185950	Q9Y4H2	OG6v0001086.55	ENSELUG00000006821	ENSSSAG00000038669,ENSSSAG00000039832	1:1:2	ENSG00000088305,ENSG00000146247,ENSG00000162434
SEMA6B	ENSG00000167680	Q9H3T3	OG6v0001097.55	ENSELUG00000015725	ENSSSAG00000073479,ENSSSAG00000068177	1:1:2	ENSG00000114554,ENSG00000130827,ENSG00000221866
RASSF8	ENSG00000123094	Q8NHQ8	OG6v0001129.55	ENSELUG00000001993	ENSSSAG00000113200,ENSSSAG00000085670	1:1:2	ENSG00000088808,ENSG00000143514,ENSG00000165689
GRIN3B	ENSG00000116032	O60391	OG6v0001184.54	ENSELUG00000006801	ENSSSAG00000069064,ENSSSAG00000107093	1:1:2	ENSG00000076554,ENSG00000176884,ENSG00000198785
NR3C1	ENSG00000113580	P04150	OG6v0001207.54	ENSELUG00000023896	ENSSSAG00000062169,ENSSSAG00000121753	1:1:2	ENSG00000118689,ENSG00000125686,ENSG00000198812
CBFA2T3	ENSG00000129993	O75081	OG6v0001214.78	ENSELUG00000000775	ENSSSAG00000088441,ENSSSAG00000109906	1:1:2	ENSG00000078699,ENSG00000115738,ENSG00000117318
TEF	ENSG00000167074	Q10587	OG6v0001275.54	ENSELUG00000019815	ENSSSAG00000091389,ENSSSAG00000002242	1:1:2	ENSG00000156127,ENSG00000162772,ENSG00000165030
WNT3A	ENSG00000154342	P56704	OG6v0001276.78	ENSELUG00000022562	ENSSSAG00000092832,ENSSSAG00000075007	1:1:2	ENSG00000070018,ENSG00000104332,ENSG00000154856
PTPRZ1	ENSG00000106278	P23471	OG6v0001319.53	ENSELUG00000005952	ENSSSAG00000080236,ENSSSAG00000056177	1:1:2	ENSG00000018236,ENSG00000149294,ENSG00000162512
PBRM1	ENSG00000163939	Q86U86	OG6v0001322.53	ENSELUG00000018567	ENSSSAG00000044811,ENSSSAG00000079810	1:1:2	ENSG00000066117,ENSG00000130024,ENSG00000189079
ZMYND8	ENSG00000101040	Q9ULU4	OG6v0001343.53	ENSELUG00000015909	ENSSSAG00000056058,ENSSSAG00000050085	1:1:2	ENSG00000074657,ENSG00000166716,ENSG00000167771
CUL4B	ENSG00000158290	Q13620	OG6v0001370.76	ENSELUG00000020172	ENSSSAG00000074834,ENSSSAG00000002551	1:1:2	ENSG00000043093,ENSG00000109184,ENSG00000137692
EXOC6	ENSG00000138190	Q8TAG9	OG6v0001377.53	ENSELUG00000017100	ENSSSAG00000103852,ENSSSAG00000015943	1:1:2	ENSG00000070367,ENSG00000116903,ENSG00000182473
FBXL20	ENSG00000108306	Q96IG2	OG6v0001422.78	ENSELUG00000030023	ENSSSAG00000045563,ENSSSAG00000001966	1:1:2	ENSG00000085276,ENSG00000090238,ENSG00000113558
CDK8	ENSG00000132964	P49336	OG6v0001430.53	ENSELUG00000013968	ENSSSAG00000059349,ENSSSAG00000010012	1:1:2	ENSG00000020426,ENSG00000112237,ENSG00000187735
SPRED2	ENSG00000198369	Q7Z698	OG6v0001451.53	ENSELUG00000012081	ENSSSAG00000092399,ENSSSAG00000106065	1:1:2	ENSG00000136158,ENSG00000166068,ENSG00000187678
NFKBIA	ENSG00000100906	P25963	OG6v0001480.53	ENSELUG00000013024	ENSSSAG00000040872,ENSSSAG00000100829	1:1:2	ENSG00000104856,ENSG00000162924,ENSG00000173039
CACNG1	ENSG00000108878	Q06432	OG6v0001488.53	ENSELUG00000014102	ENSSSAG00000063798,ENSSSAG00000006995	1:1:2	ENSG00000101558,ENSG00000143753,ENSG00000164180
VEGFA	ENSG00000112715	P15692	OG6v0001490.53	ENSELUG00000022721	ENSSSAG00000068306,ENSSSAG00000096615	1:1:2	ENSG00000102755,ENSG00000119630,ENSG00000173511
ORAI1	ENSG00000276045	Q96D31	OG6v0001507.53	ENSELUG00000020720	ENSSSAG00000006553,ENSSSAG00000087746	1:1:2	ENSG00000109689,ENSG00000160991,ENSG00000167323
FGF8	ENSG00000107831	P55075	OG6v0001514.53	ENSELUG00000015308	ENSSSAG00000098674,ENSSSAG00000068350	1:1:2	ENSG00000068078,ENSG00000077782,ENSG00000160867
LEPROTL1	ENSG00000104660	O95214	OG6v0001520.78	ENSELUG00000031158	ENSSSAG00000086415,ENSSSAG00000003112	1:1:2	ENSG00000026652,ENSG00000116209,ENSG00000183726
CEP250	ENSG00000126001	Q9BV73	OG6v0001536.78	ENSELUG00000006920	ENSSSAG00000089681	1:1:1	ENSG00000120051,ENSG00000163818,ENSG00000174799
ADGRL3	ENSG00000150471	Q9HAR2	OG6v0001548.52	ENSELUG00000017939	ENSSSAG00000076648,ENSSSAG00000078516	1:1:2	ENSG00000113763,ENSG00000146242,ENSG00000175928
PTPRG	ENSG00000144724	P23470	OG6v0001553.52	ENSELUG00000002597	ENSSSAG00000075534,ENSSSAG00000072096	1:1:2	ENSG00000079308,ENSG00000120156,ENSG00000170075
PRTG	ENSG00000166450	Q2VWP7	OG6v0001564.53	ENSELUG00000012536	ENSSSAG00000081311,ENSSSAG00000010107	1:1:2	ENSG00000135414,ENSG00000144036,ENSG00000157600
PPP4R3A	ENSG00000100796	Q6IN85	OG6v0001587.52	ENSELUG00000001107	ENSSSAG00000042928,ENSSSAG00000002811	1:1:2	ENSG00000136819,ENSG00000163605,ENSG00000172795
GABRG1	ENSG00000163285	Q8N1C3	OG6v0001663.52	ENSELUG00000014228	ENSSSAG00000005247,ENSSSAG00000015487	1:1:2	ENSG00000022355,ENSG00000094755,ENSG00000163288
GABRG2	ENSG00000113327	P18507	OG6v0001663.75	ENSELUG00000024074	ENSSSAG00000075824,ENSSSAG00000039181	1:1:2	ENSG00000109158,ENSG00000163288,ENSG00000187730
MYL2	ENSG00000111245	P10916	OG6v0001730.52	ENSELUG00000023884	ENSSSAG00000081074	1:1:1	ENSG00000099331,ENSG00000105357,ENSG00000278259
PLCB1	ENSG00000182621	Q9NQ66	OG6v0001771.51	ENSELUG00000013215	ENSSSAG00000067988,ENSSSAG00000070616	1:1:2	ENSG00000037280,ENSG00000064300,ENSG00000137841
MTSS2	ENSG00000132613	Q765P7	OG6v0001805.51	ENSELUG00000020120	ENSSSAG00000053637,ENSSSAG00000066529	1:1:2	ENSG00000162873,ENSG00000170873,ENSG00000213672
IKZF4	ENSG00000123411	Q9H2S9	OG6v0001827.51	ENSELUG00000016122	ENSSSAG00000082995,ENSSSAG00000102004	1:1:2	ENSG00000095574,ENSG00000141568,ENSG00000185811
PIP5K1B	ENSG00000107242	O14986	OG6v0001839.51	ENSELUG00000010355	ENSSSAG00000075021,ENSSSAG00000066682	1:1:2	ENSG00000143398,ENSG00000148384,ENSG00000186111
GNAO1	ENSG00000087258	P09471	OG6v0001904.51	ENSELUG00000012020	ENSSSAG00000101976,ENSSSAG00000104503	1:1:2	ENSG00000117152,ENSG00000143248,ENSG00000143333
SNX10	ENSG00000086300	Q9Y5X0	OG6v0001915.71	ENSELUG00000004919	ENSSSAG00000114556,ENSSSAG00000117399	1:1:2	ENSG00000006715,ENSG00000103249,ENSG00000105967
CABP2	ENSG00000167791	Q9NPB3	OG6v0001928.51	ENSELUG00000012376	ENSSSAG00000073929,ENSSSAG00000106968	1:1:2	ENSG00000080709,ENSG00000122741,ENSG00000163673
FNDC5	ENSG00000160097	Q8NAU1	OG6v0001934.51	ENSELUG00000003592	ENSSSAG00000064594,ENSSSAG00000003732	1:1:2	ENSG00000008952,ENSG00000155957,ENSG00000157593
SLC4A2	ENSG00000164889	P04920	OG6v0001977.50	ENSELUG00000007056	ENSSSAG00000044249,ENSSSAG00000055848	1:1:2	ENSG00000130669,ENSG00000133703,ENSG00000162300
DIAPH3	ENSG00000139734	Q9NSV4	OG6v0001981.50	ENSELUG00000023826	ENSSSAG00000084823,ENSSSAG00000091681	1:1:2	ENSG00000144580,ENSG00000147202,ENSG00000152253
DLGAP1	ENSG00000170579	O14490	OG6v0001989.50	ENSELUG00000013132	ENSSSAG00000042875,ENSSSAG00000064586	1:1:2	ENSG00000110066,ENSG00000152822,ENSG00000168959
CHCHD3	ENSG00000106554	Q9NX63	OG6v0002037.50	ENSELUG00000008507	ENSSSAG00000079607	1:1:1	ENSG00000130234,ENSG00000132305,ENSG00000159685
SS18L2	ENSG00000008324	Q9UHA2	OG6v0002102.50	ENSELUG00000007027	ENSSSAG00000073240	1:1:1	ENSG00000080503,ENSG00000116580,ENSG00000187123
SPARC	ENSG00000113140	P09486	OG6v0002110.50	ENSELUG00000022226	ENSSSAG00000056353,ENSSSAG00000065629	1:1:2	ENSG00000100767,ENSG00000148400,ENSG00000150093
HLF	ENSG00000108924	Q16534	OG6v0002117.50	ENSELUG00000000745	ENSSSAG00000001835,ENSSSAG00000002175	1:1:2	ENSG00000125740,ENSG00000162772,ENSG00000165030
CALN1	ENSG00000183166	Q9BXU9	OG6v0002125.50	ENSELUG00000008494	ENSSSAG00000071178,ENSSSAG00000076039	1:1:2	ENSG00000036828,ENSG00000107130,ENSG00000142347
ARL4A	ENSG00000122644	P40617	OG6v0002149.50	ENSELUG00000023460	ENSSSAG00000105400	1:1:1	ENSG00000105443,ENSG00000181789,ENSG00000260027
KCNQ2	ENSG00000075043	O43526	OG6v0002203.49	ENSELUG00000013558	ENSSSAG00000080768,ENSSSAG00000073474	1:1:2	ENSG00000053918,ENSG00000117013,ENSG00000184156
CHSY3	ENSG00000198108	Q70JA7	OG6v0002211.80	ENSELUG00000016460	ENSSSAG00000115562	1:1:1	ENSG00000033100,ENSG00000123989,ENSG00000131873
SCML2	ENSG00000102098	Q9UQR0	OG6v0002223.49	ENSELUG00000011608	ENSSSAG00000058869,ENSSSAG00000115166	1:1:2	ENSG00000157456,ENSG00000171456,ENSG00000173894
HSPA12A	ENSG00000165868	O43301	OG6v0002225.68	ENSELUG00000014254	ENSSSAG00000001820,ENSSSAG00000075965	1:1:2	ENSG00000125848,ENSG00000132622,ENSG00000137642
AP3M1	ENSG00000185009	Q9Y2T2	OG6v0002278.49	ENSELUG00000009122	ENSSSAG00000075891	1:1:1	ENSG00000065000,ENSG00000103723,ENSG00000132842
AP3M2	ENSG00000070718	P53677	OG6v0002278.68	ENSELUG00000001382	ENSSSAG00000115977,ENSSSAG00000080985	1:1:2	ENSG00000103723,ENSG00000132842,ENSG00000134262
SEPTIN2	ENSG00000168385	Q15019	OG6v0002286.49	ENSELUG00000018507	ENSSSAG00000053676,ENSSSAG00000069464	1:1:2	ENSG00000122545,ENSG00000125354,ENSG00000140623
ALDH1L2	ENSG00000136010	Q3SY69	OG6v0002385.67	ENSELUG00000019293	ENSSSAG00000105798,ENSSSAG00000114923	1:1:2	ENSG00000107560,ENSG00000144908,ENSG00000172059
PDE6B	ENSG00000133256	P35913	OG6v0002397.67	ENSELUG00000002135	ENSSSAG00000005497,ENSSSAG00000074539	1:1:2	ENSG00000095464,ENSG00000132915,ENSG00000255690
IL17RA	ENSG00000177663	Q96F46	OG6v0002402.48	ENSELUG00000008902	ENSSSAG00000079473	1:1:1	ENSG00000056736,ENSG00000056972,ENSG00000130234
CTTNBP2NL	ENSG00000143079	Q9P2B4	OG6v0002426.48	ENSELUG00000010842	ENSSSAG00000089724	1:1:1	ENSG00000143093,ENSG00000196792,ENSG00000213672
JAGN1	ENSG00000171135	Q8N5M9	OG6v0002513.48	ENSELUG00000019397	ENSSSAG00000096189	1:1:1	ENSG00000100532,ENSG00000105701,ENSG00000203667
TIMP2	ENSG00000035862	P16035	OG6v0002524.48	ENSELUG00000014041	ENSSSAG00000087937,ENSSSAG00000091339	1:1:2	ENSG00000087245,ENSG00000106819,ENSG00000182492
ARL4C	ENSG00000188042	P56559	OG6v0002535.48	ENSELUG00000015699	ENSSSAG00000087803,ENSSSAG00000112062	1:1:2	ENSG00000105443,ENSG00000135966,ENSG00000181789
DDR2	ENSG00000162733	Q16832	OG6v0002593.47	ENSELUG00000003697	ENSSSAG00000015802,ENSSSAG00000017684	1:1:2	ENSG00000160691,ENSG00000173517,ENSG00000188157
TEC	ENSG00000135605	P42680	OG6v0002616.65	ENSELUG00000007644	ENSSSAG00000114580,ENSSSAG00000042383	1:1:2	ENSG00000095585,ENSG00000141736,ENSG00000188739
PSEN2	ENSG00000143801	P49810	OG6v0002652.68	ENSELUG00000001236	ENSSSAG00000044602,ENSSSAG00000051966	1:1:2	ENSG00000117362,ENSG00000162736,ENSG00000205155
TLX3	ENSG00000164438	O43711	OG6v0002705.47	ENSELUG00000001456	ENSSSAG00000118122,ENSSSAG00000116146	1:1:2	ENSG00000002834,ENSG00000048162,ENSG00000125107
AEBP2	ENSG00000139154	Q6ZN18	OG6v0002857.46	ENSELUG00000000215	ENSSSAG00000056460,ENSSSAG00000040360	1:1:2	ENSG00000108799,ENSG00000129691,ENSG00000178691
B3GAT1	ENSG00000109956	Q9P2W7	OG6v0002883.46	ENSELUG00000000689	ENSSSAG00000054748,ENSSSAG00000069408	1:1:2	ENSG00000112309,ENSG00000130821,ENSG00000149541
PPP1R8	ENSG00000117751	Q12972	OG6v0002886.70	ENSELUG00000010170	ENSSSAG00000113314,ENSSSAG00000055442	1:1:2	ENSG00000096401,ENSG00000185127,ENSG00000186298
CFAP73	ENSG00000186710	A6NFT4	OG6v0002894.46	ENSELUG00000012178	ENSSSAG00000067414	1:1:1	ENSG00000130783,ENSG00000135205,ENSG00000165972
AP3S2	ENSG00000157823	P59780	OG6v0002917.46	ENSELUG00000017177	ENSSSAG00000083118	1:1:1	ENSG00000065000,ENSG00000081014,ENSG00000138814
RGS21	ENSG00000253148	Q2M5E4	OG6v0002925.46	ENSELUG00000004505	ENSSSAG00000098668,ENSSSAG00000066331	1:1:2	ENSG00000060558,ENSG00000114349,ENSG00000128266
NID1	ENSG00000116962	P14543	OG6v0002957.45	ENSELUG00000018845	ENSSSAG00000074110	1:1:1	ENSG00000050555,ENSG00000135862,ENSG00000188157
FHIP1A	ENSG00000164142	Q05DH4	OG6v0002962.45	ENSELUG00000013639	ENSSSAG00000053551,ENSSSAG00000069572	1:1:2	ENSG00000095066,ENSG00000134709,ENSG00000166971
UBASH3B	ENSG00000154127	Q8TF42	OG6v0002999.45	ENSELUG00000020078	ENSSSAG00000095992	1:1:1	ENSG00000064218,ENSG00000070778,ENSG00000100842
KCNA1	ENSG00000111262	Q09470	OG6v0003033.45	ENSELUG00000001102	ENSSSAG00000084931	1:1:1	ENSG00000143105,ENSG00000171303,ENSG00000182255
LHX8	ENSG00000162624	Q68G74	OG6v0003074.45	ENSELUG00000015915	ENSSSAG00000075086	1:1:1	ENSG00000169744,ENSG00000189079,ENSG00000198728
ARL3	ENSG00000138175	P36405	OG6v0003096.45	ENSELUG00000018031	ENSSSAG00000094867,ENSSSAG00000067235	1:1:2	ENSG00000102218,ENSG00000169570,ENSG00000175970
DNMT3A	ENSG00000119772	Q9Y6K1	OG6v0003151.44	ENSELUG00000020827	ENSSSAG00000042714,ENSSSAG00000068527	1:1:2	ENSG00000108468,ENSG00000134371,ENSG00000204371
OSBPL10	ENSG00000144645	Q9BXB5	OG6v0003165.58	ENSELUG00000000248	ENSSSAG00000078104,ENSSSAG00000071782	1:1:2	ENSG00000117859,ENSG00000144909,ENSG00000185515
LCP2	ENSG00000043462	Q13094	OG6v0003204.44	ENSELUG00000021946	ENSSSAG00000069494,ENSSSAG00000079937	1:1:2	ENSG00000101336,ENSG00000115085,ENSG00000165025
RNF183	ENSG00000165188	Q96D59	OG6v0003279.44	ENSELUG00000004313	ENSSSAG00000047530,ENSSSAG00000055221	1:1:2	ENSG00000008283,ENSG00000123454,ENSG00000189067
PDE11A	ENSG00000128655	Q9HCR9	OG6v0003332.43	ENSELUG00000023192	ENSSSAG00000070236	1:1:1	ENSG00000138735,ENSG00000159224,ENSG00000166197
STIM1	ENSG00000167323	Q13586	OG6v0003339.43	ENSELUG00000012796	ENSSSAG00000057138,ENSSSAG00000039682	1:1:2	ENSG00000109689,ENSG00000265808,ENSG00000276045
MPP7	ENSG00000150054	Q5T2T1	OG6v0003367.44	ENSELUG00000003957	ENSSSAG00000050856,ENSSSAG00000080707	1:1:2	ENSG00000104863,ENSG00000111052,ENSG00000148943
GAL3ST1	ENSG00000128242	Q99999	OG6v0003380.43	ENSELUG00000003263	ENSSSAG00000078923	1:1:1	ENSG00000139263,ENSG00000144749,ENSG00000198799
ADRM1	ENSG00000130706	Q16186	OG6v0003394.43	ENSELUG00000023390	ENSSSAG00000050800	1:1:1	ENSG00000116750,ENSG00000119318,ENSG00000179262
PARD6G	ENSG00000178184	Q9BYG4	OG6v0003397.69	ENSELUG00000007597	ENSSSAG00000104918	1:1:1	ENSG00000067606,ENSG00000123154,ENSG00000163558
PDLIM3	ENSG00000154553	Q53GG5	OG6v0003416.43	ENSELUG00000021020	ENSSSAG00000040630,ENSSSAG00000118117	1:1:2	ENSG00000072110,ENSG00000128487,ENSG00000130402
RALYL	ENSG00000184672	Q86SE5	OG6v0003420.44	ENSELUG00000034097	ENSSSAG00000084086	1:1:1	ENSG00000100505,ENSG00000125970,ENSG00000160062
EMC3	ENSG00000125037	Q9P0I2	OG6v0003458.43	ENSELUG00000017685	ENSSSAG00000073266,ENSSSAG00000081022	1:1:2	ENSG00000104412,ENSG00000127774,ENSG00000128463
EIF4E2	ENSG00000135930	O60573	OG6v0003459.43	ENSELUG00000010780	ENSSSAG00000066237	1:1:1	ENSG00000106305,ENSG00000204120,ENSG00000243056
BCL7B	ENSG00000106635	Q9BQE9	OG6v0003483.64	ENSELUG00000013922	ENSSSAG00000098468,ENSSSAG00000005587	1:1:2	ENSG00000073584,ENSG00000081154,ENSG00000110987
BIRC5	ENSG00000089685	O15392	OG6v0003487.43	ENSELUG00000017511	ENSSSAG00000001277	1:1:1	ENSG00000134690,ENSG00000149503,ENSG00000156136
MARCHF4	ENSG00000144583	Q9P2E8	OG6v0003591.42	ENSELUG00000010413	ENSSSAG00000088114	1:1:1	ENSG00000105829,ENSG00000135298,ENSG00000166086
EGLN1	ENSG00000135766	Q9GZT9	OG6v0003603.59	ENSELUG00000016998	ENSSSAG00000042736,ENSSSAG00000081907	1:1:2	ENSG00000096060,ENSG00000100644,ENSG00000116016
CTSB	ENSG00000164733	P07858	OG6v0003605.42	ENSELUG00000018201	ENSSSAG00000002454,ENSSSAG00000057365	1:1:2	ENSG00000100985,ENSG00000157766,ENSG00000197746
LGALSL	ENSG00000119862	Q3ZCW2	OG6v0003646.42	ENSELUG00000013610	ENSSSAG00000083428,ENSSSAG00000109899	1:1:2	ENSG00000123610,ENSG00000139218,ENSG00000196503
EIF1B	ENSG00000114784	O60739	OG6v0003654.42	ENSELUG00000026894	ENSSSAG00000113224	1:1:1	ENSG00000105372,ENSG00000120265,ENSG00000125977
HDLBP	ENSG00000115677	Q00341	OG6v0003676.41	ENSELUG00000010700	ENSSSAG00000055215	1:1:1	ENSG00000112773,ENSG00000129351,ENSG00000204628
SON	ENSG00000159140	P18583	OG6v0003679.40	ENSELUG00000003878	ENSSSAG00000109318,ENSSSAG00000042713	1:1:2	ENSG00000104889,ENSG00000114346,ENSG00000122966
DLG4	ENSG00000132535	P78352	OG6v0003692.55	ENSELUG00000018741	ENSSSAG00000006558,ENSSSAG00000072878	1:1:2	ENSG00000017797,ENSG00000161202,ENSG00000171587
APBB1IP	ENSG00000077420	Q7Z5R6	OG6v0003708.41	ENSELUG00000001664	ENSSSAG00000072025	1:1:1	ENSG00000073712,ENSG00000101311,ENSG00000137076
